visibility,method,n_incidents,PR@1,PR@3,PR@5,Precision@1,Precision@3,Precision@5,Recall@1,Recall@3,Recall@5,MRR,MAP,avg_rank,median_rank,dataset_index,n_rows,n_nodes,n_edges
0.0,MicroRCA,200,0.025,0.06,0.07,0.025,0.019999999999999997,0.014000000000000002,0.025,0.06,0.07,0.05893952887451375,0.05893952887451375,5419.95,243.0,136,15410499,17379,56143
0.0,CloudRanger,200,0.0,0.0,0.005,0.0,0.0,0.001,0.0,0.0,0.005,0.0019725936329860225,0.0019725936329860225,7977.75,8378.0,136,15410499,17379,56143
0.0,In-Degree,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002708151441390677,0.0002708151441390677,8236.545,8079.0,136,15410499,17379,56143
0.0,MicroHECL,200,0.06,0.15,0.175,0.06,0.05,0.035,0.06,0.15,0.175,0.11514932728337815,0.11514932728337815,5859.2,221.0,136,15410499,17379,56143
0.0,TraceDiag,200,0.025,0.035,0.05,0.025,0.011666666666666665,0.01,0.025,0.035,0.05,0.04037318438477003,0.04037318438477003,7256.71,7953.5,136,15410499,17379,56143
0.0,Neighbor Corr.,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035005297668122227,0.0035005297668122227,5058.375,1111.5,136,15410499,17379,56143
0.0,MonitorRank,200,0.025,0.055,0.075,0.025,0.01833333333333333,0.015,0.025,0.055,0.075,0.05860139968195416,0.05860139968195416,5545.305,393.5,136,15410499,17379,56143
0.0,MicroRank,200,0.79,1.0,1.0,0.79,0.33333333333333326,0.2,0.79,1.0,1.0,0.895,0.895,1.21,1.0,136,15410499,17379,56143
0.0,CORAL,200,0.025,0.06,0.07,0.025,0.019999999999999997,0.014000000000000002,0.025,0.06,0.07,0.05936060574833147,0.05936060574833147,5425.195,245.5,136,15410499,17379,56143
0.0,TraceRank,200,0.495,1.0,1.0,0.495,0.33333333333333326,0.2,0.495,1.0,1.0,0.74,0.74,1.55,2.0,136,15410499,17379,56143
0.0,IRWR,200,0.045,0.115,0.17,0.045,0.03833333333333333,0.034,0.045,0.115,0.17,0.10354831077189702,0.10354831077189702,5308.895,196.5,136,15410499,17379,56143
0.0,eIRWR,200,0.045,0.18,0.245,0.045,0.05999999999999999,0.049,0.045,0.18,0.245,0.12812465118765978,0.12812465118765978,4456.785,215.0,136,15410499,17379,56143
0.05,MicroRCA,200,0.025,0.08,0.1,0.025,0.026666666666666665,0.02,0.025,0.08,0.1,0.07217671992638496,0.07217671992638496,2703.32,115.5,136,15410499,17379,56143
0.05,CloudRanger,200,0.0,0.0,0.005,0.0,0.0,0.001,0.0,0.0,0.005,0.0023139213163077153,0.0023139213163077153,3830.775,3052.0,136,15410499,17379,56143
0.05,In-Degree,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002708151441390677,0.0002708151441390677,8236.545,8079.0,136,15410499,17379,56143
0.05,MicroHECL,200,0.065,0.15,0.175,0.065,0.05,0.035,0.065,0.15,0.175,0.11782460171693991,0.11782460171693991,5856.82,212.0,136,15410499,17379,56143
0.05,TraceDiag,200,0.025,0.045,0.07,0.025,0.015,0.014000000000000002,0.025,0.045,0.07,0.0526909615533426,0.0526909615533426,2112.12,305.0,136,15410499,17379,56143
0.05,Neighbor Corr.,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004812665830238666,0.004812665830238666,2068.465,412.5,136,15410499,17379,56143
0.05,MonitorRank,200,0.03,0.075,0.115,0.03,0.025,0.023000000000000003,0.03,0.075,0.115,0.076807935985381,0.076807935985381,2959.505,146.5,136,15410499,17379,56143
0.05,MicroRank,200,0.79,1.0,1.0,0.79,0.33333333333333326,0.2,0.79,1.0,1.0,0.895,0.895,1.21,1.0,136,15410499,17379,56143
0.05,CORAL,200,0.025,0.085,0.11,0.025,0.028333333333333332,0.022000000000000002,0.025,0.085,0.11,0.07495918313051961,0.07495918313051961,2716.415,114.5,136,15410499,17379,56143
0.05,TraceRank,200,0.515,1.0,1.0,0.515,0.33333333333333326,0.2,0.515,1.0,1.0,0.7433333333333334,0.7433333333333334,1.57,1.0,136,15410499,17379,56143
0.05,IRWR,200,0.05,0.175,0.22,0.05,0.05833333333333333,0.044000000000000004,0.05,0.175,0.22,0.13456120988018713,0.13456120988018713,2432.92,59.5,136,15410499,17379,56143
0.05,eIRWR,200,0.05,0.2,0.27,0.05,0.06666666666666667,0.05399999999999999,0.05,0.2,0.27,0.14662360632251636,0.14662360632251636,1283.575,99.0,136,15410499,17379,56143
0.1,MicroRCA,200,0.04,0.11,0.145,0.04,0.03666666666666666,0.029000000000000005,0.04,0.11,0.145,0.09814032336858311,0.09814032336858311,899.135,72.0,136,15410499,17379,56143
0.1,CloudRanger,200,0.0,0.005,0.005,0.0,0.0016666666666666666,0.001,0.0,0.005,0.005,0.003180727369861861,0.003180727369861861,2087.455,1483.0,136,15410499,17379,56143
0.1,In-Degree,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002708151441390677,0.0002708151441390677,8236.545,8079.0,136,15410499,17379,56143
0.1,MicroHECL,200,0.065,0.145,0.175,0.065,0.04833333333333333,0.035,0.065,0.145,0.175,0.11766424410904097,0.11766424410904097,5855.055,206.0,136,15410499,17379,56143
0.1,TraceDiag,200,0.03,0.07,0.085,0.03,0.02333333333333333,0.017,0.03,0.07,0.085,0.06900377146897686,0.06900377146897686,1093.98,163.0,136,15410499,17379,56143
0.1,Neighbor Corr.,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006146595357079845,0.006146595357079845,673.16,225.0,136,15410499,17379,56143
0.1,MonitorRank,200,0.05,0.12,0.155,0.05,0.04,0.031,0.05,0.12,0.155,0.1066607503383543,0.1066607503383543,1105.745,82.0,136,15410499,17379,56143
0.1,MicroRank,200,0.79,1.0,1.0,0.79,0.33333333333333326,0.2,0.79,1.0,1.0,0.895,0.895,1.21,1.0,136,15410499,17379,56143
0.1,CORAL,200,0.045,0.115,0.145,0.045,0.03833333333333333,0.029000000000000005,0.045,0.115,0.145,0.1030265209528022,0.1030265209528022,914.295,71.5,136,15410499,17379,56143
